Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Australia,Data source,Spirits,1.29,1.26,1.34,1.30,1.32,1.19,1.17,1.16,1.21,1.20,2.01,1.86,1.81,2.07
Australia,Data source,Other alcoholic beverages,0.84,0.85,0.86,0.84,0.84,1.17,1.15,0.99,0.94,0.94,0.00,0.00,0.01,0.08
Austria,Data source,All types,,,11.90,12.10,11.70,12.00,12.50,12.50,12.20,12.10,12.40,12.00,12.40,13.20
Austria,Data source,Beer,,,6.10,6.10,6.10,6.40,6.40,6.40,6.40,6.70,6.70,6.60,6.60,6.80
Austria,Data source,Wine,,,4.10,4.30,3.90,3.90,4.40,4.40,4.10,3.80,4.10,3.90,4.30,4.30
Austria,Data source,Spirits,,,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.60,1.60,1.50,1.50,2.10
Austria,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Azerbaijan,Data source,All types,,,1.11,1.36,1.25,1.29,1.12,0.93,0.86,0.74,0.68,0.71,0.65,0.60
Azerbaijan,Data source,Beer,,,0.32,0.39,0.36,0.47,0.35,0.31,0.30,0.25,0.21,0.19,0.13,0.13
Azerbaijan,Data source,Wine,,,0.05,0.10,0.10,0.10,0.08,0.03,0.04,0.02,0.03,0.08,0.05,0.05
Azerbaijan,Data source,Spirits,,,0.74,0.86,0.78,0.71,0.69,0.59,0.52,0.48,0.43,0.43,0.47,0.42
Azerbaijan,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,Data source,All types,,,10.53,10.34,10.31,11.09,11.67,11.93,11.26,10.82,10.82,10.84,11.51,11.23
Bahamas,Data source,Beer,,,3.56,3.52,3.40,3.87,4.07,3.99,3.99,3.85,3.63,3.63,3.67,3.97
Bahamas,Data source,Wine,,,1.58,1.51,1.62,1.72,1.95,2.19,1.55,1.31,1.59,1.48,1.85,0.96
Bahamas,Data source,Spirits,,,5.37,5.21,5.16,5.36,5.51,5.61,5.61,5.58,5.53,5.66,5.92,6.22
Bahamas,Data source,Other alcoholic beverages,,,0.02,0.11,0.12,0.14,0.15,0.14,0.11,0.08,0.07,0.07,0.07,0.07
Bahrain,Data source,All types,,,,2.86,2.85,2.75,3.62,3.66,3.40,3.49,3.16,3.63,3.59,3.62
Bahrain,Data source,Beer,,,,1.05,1.05,1.05,1.94,2.07,1.99,2.12,1.88,2.17,2.18,2.03
Bahrain,Data source,Wine,,,,0.18,0.26,0.23,0.27,0.23,0.18,0.20,0.14,0.17,0.14,0.30
Bahrain,Data source,Spirits,,,,0.00,1.55,1.47,1.42,1.35,1.22,1.16,1.14,1.29,1.26,1.29
Bahrain,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Bangladesh,Data source,All types,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Bangladesh,Data source,Beer,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Data source,Wine,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Data source,Spirits,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,Data source,All types,,,8.76,7.63,7.63,8.18,7.71,7.70,7.50,7.21,7.02,6.96,6.78,6.91
Barbados,Data source,Beer,,,3.44,3.03,2.91,3.16,2.89,3.02,2.95,2.75,2.66,2.69,2.67,2.54
Barbados,Data source,Wine,,,0.74,0.78,0.71,0.84,0.85,0.71,0.73,0.67,0.71,0.54,0.48,0.61
Barbados,Data source,Spirits,,,4.56,3.76,3.96,4.11,3.89,3.90,3.75,3.74,3.58,3.67,3.57,3.71
Barbados,Data source,Other alcoholic beverages,,,0.02,0.06,0.05,0.08,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Belarus,Data source,All types,,14.69,15.15,14.37,14.04,14.64,14.21,12.62,11.03,11.33,11.17,12.23,10.74,10.83
Belarus,Data source,Beer,,2.88,2.95,2.49,2.39,2.53,2.37,2.03,1.47,1.33,3.20,2.73,1.15,1.18
Belarus,Data source,Wine,,0.97,1.15,0.75,0.62,0.72,0.82,0.77,0.62,0.72,0.49,0.41,0.37,0.40
Belarus,Data source,Spirits,,5.84,7.72,6.70,6.80,6.91,6.05,5.23,4.22,4.06,3.80,4.75,4.75,5.21
Belarus,Data source,Other alcoholic beverages,,5.00,3.34,4.44,4.24,4.49,4.96,4.59,4.72,3.35,3.68,3.89,4.47,4.04
Belgium,Data source,All types,,9.75,9.79,10.57,10.35,10.60,10.22,10.66,10.93,10.98,10.95,11.11,10.64,10.81
Belgium,Data source,Beer,,4.61,4.71,5.19,5.08,5.04,5.31,5.68,6.13,5.99,6.18,6.13,6.12,6.19
Belgium,Data source,Wine,,3.59,3.58,3.84,3.77,3.92,4.12,4.18,4.00,4.18,4.01,4.22,3.76,3.85
Belgium,Data source,Spirits,,1.49,1.44,1.52,1.49,1.63,0.78,0.78,0.79,0.79,0.75,0.75,0.76,0.76
Belgium,Data source,Other alcoholic beverages,,0.06,0.06,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00
Belize,Data source,All types,,,6.30,6.68,6.72,7.08,7.09,6.34,6.13,6.08,5.54,4.89,4.76,4.67
Belize,Data source,Beer,,,4.25,4.52,4.49,4.81,4.82,4.06,3.90,3.90,3.62,3.03,2.87,2.76
Belize,Data source,Wine,,,0.14,0.13,0.18,0.13,0.16,0.12,0.13,0.12,0.15,0.11,0.14,0.14
Belize,Data source,Spirits,,,1.91,2.03,2.03,2.12,2.10,2.15,2.09,2.06,1.77,1.75,1.75,1.77
Belize,Data source,Other alcoholic beverages,,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01
Benin,Data source,All types,,,,1.18,1.07,1.18,1.12,1.17,1.08,1.09,1.29,1.22,1.21,1.26
Benin,Data source,Beer,,,,0.64,0.59,0.59,0.52,0.50,0.49,0.51,0.67,0.70,0.63,0.52
Benin,Data source,Wine,,,,0.25,0.20,0.18,0.19,0.19,0.14,0.12,0.12,0.10,0.12,0.12
Benin,Data source,Spirits,,,,0.08,0.08,0.17,0.11,0.18,0.15,0.15,0.18,0.02,0.12,0.29
Benin,Data source,Other alcoholic beverages,,,,0.19,0.19,0.24,0.29,0.29,0.31,0.31,0.32,0.40,0.34,0.33
Bhutan,Data source,All types,,,,,,0.41,0.42,0.56,0.68,0.95,0.78,0.73,1.91,2.25
Bhutan,Data source,Beer,,,,,,0.41,0.42,0.56,0.68,0.95,0.78,0.73,1.91,2.25
Bhutan,Data source,Wine,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,Data source,Spirits,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
