Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Colombia,Data source,All types,,,4.37,4.20,4.21,4.28,4.47,4.36,4.21,4.10,4.05,4.23,4.22,4.44
Colombia,Data source,Beer,,,2.92,2.78,2.81,2.92,3.04,2.90,2.71,2.54,2.53,2.60,2.48,2.75
Colombia,Data source,Wine,,,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03
Colombia,Data source,Spirits,,,1.40,1.37,1.34,1.30,1.38,1.41,1.44,1.51,1.46,1.56,1.68,1.62
Colombia,Data source,Other alcoholic beverages,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03
Comoros,Data source,All types,,,,0.11,0.15,0.10,0.12,0.19,0.24,0.27,0.26,0.12,0.10,0.08
Comoros,Data source,Beer,,,,0.03,0.03,0.03,0.04,0.10,0.15,0.13,0.11,0.02,0.02,0.02
Comoros,Data source,Wine,,,,0.03,0.04,0.02,0.03,0.02,0.03,0.06,0.05,0.06,0.04,0.03
Comoros,Data source,Spirits,,,,0.06,0.07,0.05,0.05,0.07,0.06,0.08,0.10,0.04,0.04,0.03
Comoros,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Congo,Data source,All types,,,,1.75,1.32,2.02,1.54,1.08,1.85,2.01,2.04,2.05,2.01,1.90
Congo,Data source,Beer,,,,1.37,0.88,0.99,0.56,0.44,0.99,1.86,1.64,1.69,1.28,1.27
Congo,Data source,Wine,,,,0.17,0.14,0.20,0.14,0.14,0.12,0.06,0.13,0.13,0.28,0.21
Congo,Data source,Spirits,,,,0.19,0.02,0.06,0.06,0.04,0.06,0.03,0.12,0.11,0.45,0.42
Congo,Data source,Other alcoholic beverages,,,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cook Islands,Data source,All types,,,,,,8.20,7.93,5.40,5.50,5.42,6.60,0.68,1.14,3.68
Cook Islands,Data source,Beer,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
Cook Islands,Data source,Wine,,,,,,1.85,2.47,1.66,2.06,1.83,1.65,0.27,0.66,1.30
Cook Islands,Data source,Spirits,,,,,,6.35,5.47,3.74,3.45,3.60,4.95,0.41,0.48,1.89
Cook Islands,Data source,Other alcoholic beverages,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data
Costa Rica,Data source,All types,,,3.80,4.34,4.33,4.45,4.25,4.19,4.14,4.13,4.04,4.17,4.29,4.38
Costa Rica,Data source,Beer,,,2.05,2.57,2.60,2.63,2.42,2.33,2.29,2.24,2.25,2.24,2.26,2.28
Costa Rica,Data source,Wine,,,0.21,0.21,0.18,0.21,0.21,0.18,0.18,0.14,0.13,0.12,0.13,0.18
Costa Rica,Data source,Spirits,,,1.54,1.54,1.53,1.59,1.61,1.67,1.66,1.73,1.64,1.79,1.88,1.90
Costa Rica,Data source,Other alcoholic beverages,,,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02
Croatia,Data source,All types,,,10.63,10.70,10.99,10.91,11.35,10.64,10.46,11.71,12.30,13.20,13.06,12.69
Croatia,Data source,Beer,,,4.44,4.23,4.49,4.76,4.88,4.77,4.66,4.76,4.97,4.89,5.13,5.04
Croatia,Data source,Wine,,,4.49,4.79,4.79,4.43,4.75,4.14,4.08,5.17,5.53,6.49,6.07,5.81
Croatia,Data source,Spirits,,,1.64,1.65,1.68,1.69,1.69,1.70,1.70,1.75,1.77,1.79,1.82,1.80
Croatia,Data source,Other alcoholic beverages,,,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Cuba,Data source,All types,,,4.04,4.14,4.02,4.29,4.15,4.20,4.50,4.39,4.36,4.06,3.98,4.09
Cuba,Data source,Beer,,,1.58,1.60,1.59,1.66,1.61,1.57,1.48,1.52,1.50,1.30,1.29,1.31
Cuba,Data source,Wine,,,0.06,0.09,0.08,0.07,0.07,0.05,0.05,0.05,0.05,0.04,0.03,0.26
Cuba,Data source,Spirits,,,2.40,2.44,2.35,2.56,2.48,2.58,2.96,2.82,2.82,2.72,2.66,2.52
Cuba,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,No data,No data,No data,No data,No data,No data,No data
Cyprus,Data source,All types,,,8.88,8.70,8.53,9.31,8.63,8.40,8.73,9.50,9.32,8.42,8.43,7.94
Cyprus,Data source,Beer,,,3.24,3.55,3.38,3.58,3.06,3.26,3.28,3.90,3.48,3.01,3.32,3.29
Cyprus,Data source,Wine,,,2.70,2.14,2.15,2.70,2.57,2.20,2.39,2.45,2.51,1.97,1.84,1.48
Cyprus,Data source,Spirits,,,2.87,2.93,2.92,2.94,2.92,2.85,2.97,3.07,3.25,3.34,3.16,3.05
Cyprus,Data source,Other alcoholic beverages,,,0.08,0.06,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.10,0.11,0.11
Czech Republic,Data source,All types,12.47,12.82,12.67,12.69,13.23,13.25,13.43,13.03,13.19,13.24,13.01,13.47,13.36,13.22
Czech Republic,Data source,Beer,6.85,6.90,6.68,6.79,7.03,7.15,7.03,7.03,7.39,7.67,7.56,7.64,7.59,7.48
Czech Republic,Data source,Wine,2.59,2.67,2.73,2.60,2.40,2.40,2.50,2.30,2.20,1.91,1.88,1.86,1.84,1.83
Czech Republic,Data source,Spirits,3.03,3.26,3.26,3.30,3.80,3.70,3.90,3.70,3.60,3.66,3.58,3.97,3.94,3.91
Czech Republic,Data source,Other alcoholic beverages,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Democratic People's Republic of Korea,Data source,All types,,,,3.12,3.36,3.16,3.13,3.30,3.21,3.13,3.13,3.08,2.53,3.52
Democratic People's Republic of Korea,Data source,Beer,,,,0.16,0.15,0.14,0.18,0.21,0.20,0.19,0.21,0.20,0.20,0.23
Democratic People's Republic of Korea,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Democratic People's Republic of Korea,Data source,Spirits,,,,2.96,3.21,3.03,2.95,3.09,3.02,2.93,2.92,2.88,2.33,3.29
Democratic People's Republic of Korea,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Democratic Republic of the Congo,Data source,All types,,,,2.41,2.36,2.15,1.94,1.46,0.90,2.06,2.07,2.08,2.14,2.19
Democratic Republic of the Congo,Data source,Beer,,,,0.58,0.53,0.51,0.46,0.39,0.32,0.30,0.26,0.26,0.25,0.36
Democratic Republic of the Congo,Data source,Wine,,,,0.02,0.05,0.02,0.02,0.03,0.01,0.01,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,Data source,Spirits,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03
Democratic Republic of the Congo,Data source,Other alcoholic beverages,,,,1.77,1.73,1.57,1.41,0.99,0.51,1.71,1.77,1.79,1.85,1.80
Denmark,Data source,All types,9.21,8.96,10.11,10.42,10.19,10.79,11.05,11.05,11.28,11.27,11.54,11.34,11.56,11.69
Denmark,Data source,Beer,3.40,3.45,3.68,3.92,4.17,4.55,4.79,4.93,5.06,5.10,5.47,5.48,5.57,5.76
Denmark,Data source,Wine,4.20,3.98,4.87,4.99,4.43,4.51,4.44,4.35,4.44,4.32,4.47,4.43,4.60,4.53
Denmark,Data source,Spirits,1.53,1.47,1.46,1.46,1.53,1.67,1.75,1.70,1.78,1.85,1.60,1.42,1.39,1.41
Denmark,Data source,Other alcoholic beverages,0.07,0.07,0.10,0.05,0.05,0.06,0.07,0.07,No data,No data,No data,No data,No data,No data
Djibouti,Data source,All types,,,,1.13,1.14,1.15,1.10,0.90,1.66,1.44,1.02,1.03,0.95,1.34
Djibouti,Data source,Beer,,,,0.26,0.26,0.26,0.22,0.22,0.23,0.25,0.24,0.30,0.22,0.23
Djibouti,Data source,Wine,,,,0.06,0.07,0.06,0.06,0.04,0.08,0.07,0.08,0.07,0.06,0.03
Djibouti,Data source,Spirits,,,,0.81,0.81,0.83,0.82,0.63,1.35,1.12,0.70,0.66,0.67,1.08
Djibouti,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,Data source,All types,,,,,7.10,8.72,7.49,7.65,8.12,8.66,7.28,8.52,8.74,8.91
Dominica,Data source,Beer,,,,,0.97,0.97,0.82,0.75,0.50,0.88,0.31,0.84,1.00,0.81
Dominica,Data source,Wine,,,,,0.51,1.12,0.99,0.63,0.86,0.73,0.77,0.98,0.88,1.08
Dominica,Data source,Spirits,,,,,5.54,6.58,5.64,6.21,6.69,7.03,6.19,6.64,6.82,6.94
Dominica,Data source,Other alcoholic beverages,,,,,0.09,0.05,0.03,0.06,0.07,0.02,0.01,0.06,0.04,0.07
Dominican Republic,Data source,All types,,,5.74,6.28,6.09,6.14,6.06,6.21,5.71,5.16,6.25,6.36,6.08,6.52
Dominican Republic,Data source,Beer,,,3.07,3.42,3.18,3.02,2.87,3.31,2.69,2.02,2.60,2.66,2.38,2.62
Dominican Republic,Data source,Wine,,,0.18,0.17,0.15,0.16,0.16,0.15,0.14,0.13,0.16,0.14,0.14,0.21
Dominican Republic,Data source,Spirits,,,2.49,2.68,2.75,2.96,3.03,2.74,2.88,3.00,3.50,3.55,3.56,3.68
Dominican Republic,Data source,Other alcoholic beverages,,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Ecuador,Data source,All types,,,4.24,4.31,4.19,4.07,3.88,3.75,3.75,3.83,3.83,4.00,4.14,3.97
Ecuador,Data source,Beer,,,2.95,2.90,2.83,2.57,2.31,2.22,2.02,1.90,1.82,1.69,1.45,1.29
Ecuador,Data source,Wine,,,0.03,0.05,0.05,0.06,0.07,0.05,0.04,0.05,0.05,0.04,0.05,0.03
Ecuador,Data source,Spirits,,,1.26,1.36,1.32,1.44,1.51,1.47,1.68,1.88,1.96,2.26,2.64,2.65
Ecuador,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Egypt,Data source,All types,,,0.18,0.20,0.18,0.18,0.17,0.16,0.15,0.14,0.26,0.21,0.20,0.20
Egypt,Data source,Beer,,,0.11,0.11,0.11,0.11,0.10,0.09,0.08,0.07,0.19,0.14,0.13,0.12
Egypt,Data source,Wine,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Egypt,Data source,Spirits,,,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
Egypt,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
El Salvador,Data source,All types,,,2.30,2.09,2.26,2.34,2.49,2.45,2.47,2.59,2.80,2.69,2.63,2.58
El Salvador,Data source,Beer,,,0.98,0.87,0.87,0.91,0.96,0.94,0.88,1.01,1.01,1.03,1.02,1.01
El Salvador,Data source,Wine,,,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.09,0.02,0.02,0.04
El Salvador,Data source,Spirits,,,1.29,1.18,1.37,1.41,1.50,1.48,1.56,1.55,1.69,1.64,1.60,1.53
El Salvador,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Equatorial Guinea,Data source,All types,,,9.94,11.57,5.61,6.09,7.60,7.61,7.54,8.83,8.64,6.29,5.40,4.21
Equatorial Guinea,Data source,Beer,,,6.35,7.73,1.62,1.60,3.83,3.60,3.46,3.60,3.72,1.59,1.23,0.44
Equatorial Guinea,Data source,Wine,,,3.59,3.84,3.99,4.49,3.77,4.01,4.08,5.23,4.92,4.70,4.17,3.77
Equatorial Guinea,Data source,Spirits,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equatorial Guinea,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data
Eritrea,Data source,All types,,,,0.58,0.43,0.36,0.78,0.87,1.11,0.67,0.73,1.01,0.80,1.12
Eritrea,Data source,Beer,,,,0.43,0.27,0.01,0.40,0.54,0.66,0.56,0.57,0.60,0.64,0.77
Eritrea,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,Data source,Spirits,,,,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.03,0.01
Eritrea,Data source,Other alcoholic beverages,,,,0.15,0.15,0.35,0.38,0.33,0.44,0.09,0.14,0.38,0.13,0.34
Estonia,Data source,All types,,,,14.97,15.04,16.99,17.87,16.58,15.52,15.07,11.64,11.48,,
Estonia,Data source,Beer,,,,5.87,5.68,6.02,6.50,6.48,6.04,5.35,4.75,4.99,,
Estonia,Data source,Wine,,,,1.65,1.41,1.54,1.44,1.50,1.47,1.15,0.82,0.80,,
Estonia,Data source,Spirits,,,,5.64,6.19,7.30,7.87,6.62,6.13,6.18,4.81,4.37,,
Estonia,Data source,Other alcoholic beverages,,,,1.81,1.76,2.13,2.06,1.98,1.88,2.39,1.26,1.32,,
Ethiopia,Data source,All types,,,,0.69,0.65,0.66,0.65,1.12,0.99,0.98,0.83,0.84,0.83,0.82
Ethiopia,Data source,Beer,,,,0.34,0.28,0.32,0.34,0.68,0.62,0.63,0.52,0.53,0.51,0.48
Ethiopia,Data source,Wine,,,,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Ethiopia,Data source,Spirits,,,,0.06,0.05,0.06,0.07,0.12,0.11,0.12,0.09,0.09,0.08,0.09
Ethiopia,Data source,Other alcoholic beverages,,,,0.29,0.32,0.28,0.24,0.31,0.25,0.22,0.21,0.21,0.23,0.24
Fiji,Data source,All types,,,,2.06,2.05,2.02,2.16,2.12,2.06,1.66,1.79,1.86,1.93,2.05
Fiji,Data source,Beer,,,,1.40,1.39,1.40,1.41,1.41,1.46,1.47,1.50,1.69,1.67,1.76
Fiji,Data source,Wine,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.11,0.08
Fiji,Data source,Spirits,,,,0.64,0.64,0.60,0.73,0.69,0.58,0.16,0.28,0.16,0.16,0.21
Fiji,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finland,Data source,All types,8.97,9.24,9.81,9.72,9.96,10.26,10.45,10.15,9.95,9.89,9.31,9.25,8.94,8.59
Finland,Data source,Beer,4.28,4.27,4.61,4.47,4.54,4.62,4.70,4.57,4.59,4.57,4.37,4.43,4.37,4.27
Finland,Data source,Wine,1.71,1.70,1.74,1.70,1.68,1.67,1.64,1.55,1.47,1.42,1.43,1.31,1.19,1.07
Finland,Data source,Spirits,2.03,2.16,2.25,2.33,2.49,2.69,2.86,2.86,2.82,2.79,2.38,2.37,2.32,2.22
Finland,Data source,Other alcoholic beverages,0.95,1.11,1.21,1.22,1.25,1.28,1.25,1.17,1.08,1.11,1.13,1.14,1.06,1.04
France,Data source,All types,11.40,11.80,12.00,11.90,11.80,11.90,12.20,12.40,12.20,13.18,13.49,13.78,13.89,13.63
France,Data source,Beer,1.70,2.10,2.10,2.10,2.20,2.20,2.30,2.40,2.30,2.24,2.29,2.25,2.15,2.08
France,Data source,Wine,6.90,7.00,7.10,7.00,6.70,6.70,7.00,7.10,7.10,8.10,8.36,8.59,8.40,8.59
France,Data source,Spirits,2.50,2.50,2.60,2.60,2.70,2.80,2.70,2.70,2.60,2.67,2.65,2.74,2.77,2.71
France,Data source,Other alcoholic beverages,0.30,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.17,0.19,0.20,0.56,0.25
Gabon,Data source,All types,,,,9.01,8.91,8.85,9.11,8.29,6.18,7.63,6.46,8.31,9.27,8.90
Gabon,Data source,Beer,,,,6.15,6.25,6.38,5.91,5.62,5.38,4.90,4.89,5.39,6.08,5.91
Gabon,Data source,Wine,,,,1.07,0.88,0.88,1.09,0.91,0.80,0.94,0.80,1.22,1.49,1.52
Gabon,Data source,Spirits,,,,1.78,1.78,1.59,2.11,1.76,0.00,1.78,0.77,1.70,1.69,1.47
Gabon,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,No data,No data,No data,No data,No data,No data
Gambia,Data source,All types,,,,2.44,2.45,2.28,2.16,2.39,2.22,2.46,2.42,2.04,2.21,2.15
Gambia,Data source,Beer,,,,0.14,0.14,0.14,0.19,0.19,0.19,0.21,0.19,0.16,0.16,0.17
Gambia,Data source,Wine,,,,0.02,0.02,0.03,0.05,0.03,0.04,0.04,0.04,0.05,0.02,0.00
Gambia,Data source,Spirits,,,,0.01,0.01,0.00,0.04,0.03,0.00,0.07,0.01,0.01,0.01,0.02
Gambia,Data source,Other alcoholic beverages,,,,2.28,2.28,2.10,1.87,2.14,1.98,2.14,2.19,1.82,2.03,1.96
Georgia,Data source,All types,,,,5.32,5.11,5.68,5.57,4.39,3.75,2.89,2.79,2.74,2.49,3.04
Georgia,Data source,Beer,,,,0.90,0.88,1.17,1.08,0.87,0.78,0.59,0.57,0.51,0.18,0.17
Georgia,Data source,Wine,,,,2.65,2.66,3.03,3.02,2.17,1.65,1.04,1.02,1.13,1.24,1.56
Georgia,Data source,Spirits,,,,1.76,1.56,1.48,1.48,1.35,1.31,1.26,1.20,1.10,1.07,1.31
Georgia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Germany,Data source,All types,10.94,11.19,11.20,11.21,11.23,11.37,11.51,11.76,11.68,11.83,11.92,12.25,12.46,12.91
Germany,Data source,Beer,5.81,5.94,5.94,6.01,6.14,6.15,6.28,6.52,6.42,6.29,6.43,6.67,6.71,7.16
Germany,Data source,Wine,3.08,3.20,3.20,3.12,3.01,3.13,3.14,3.03,3.04,3.06,3.14,3.14,3.21,3.18
Germany,Data source,Spirits,2.05,2.06,2.06,2.08,2.08,2.09,2.09,2.21,2.22,2.48,2.35,2.44,2.54,2.57
Germany,Data source,Other alcoholic beverages,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Ghana,Data source,All types,,,,1.84,1.80,1.88,1.35,1.78,1.47,1.43,1.50,1.57,1.46,1.57
Ghana,Data source,Beer,,,,0.55,0.58,0.65,0.62,0.64,0.40,0.39,0.37,0.38,0.31,0.38
Ghana,Data source,Wine,,,,0.18,0.12,0.15,0.13,0.11,0.07,0.08,0.07,0.05,0.04,0.04
Ghana,Data source,Spirits,,,,0.05,0.05,0.10,0.08,0.06,0.03,0.04,0.04,0.18,0.15,0.12
Ghana,Data source,Other alcoholic beverages,,,,1.05,1.05,0.98,0.51,0.97,0.97,0.92,1.03,0.96,0.96,1.03
Greece,Data source,All types,,,7.35,7.88,8.32,8.83,8.99,8.78,9.24,8.92,8.74,8.07,8.62,8.52
Greece,Data source,Beer,,,1.99,2.22,2.25,2.39,2.37,2.25,2.20,2.21,2.24,2.37,2.35,2.40
Greece,Data source,Wine,,,3.81,3.73,3.73,4.01,4.15,4.03,4.52,4.18,3.90,3.14,3.78,3.69
Greece,Data source,Spirits,,,1.55,1.91,2.31,2.40,2.44,2.46,2.47,2.48,2.54,2.50,2.44,2.38
Greece,Data source,Other alcoholic beverages,,,0.00,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05
Grenada,Data source,All types,,,9.61,12.40,12.95,13.43,13.07,12.47,11.66,10.68,10.75,10.21,9.38,8.65
Grenada,Data source,Beer,,,3.45,3.64,3.61,4.01,4.14,4.34,4.04,3.73,3.11,2.81,3.18,2.68
Grenada,Data source,Wine,,,0.37,0.53,0.50,0.51,0.48,0.33,0.42,0.29,0.42,0.33,0.38,0.74
Grenada,Data source,Spirits,,,5.79,8.21,8.80,8.87,8.41,7.77,7.17,6.63,7.19,7.04,5.80,5.21
Grenada,Data source,Other alcoholic beverages,,,0.00,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.02
Guatemala,Data source,All types,,,2.12,2.18,2.23,2.29,2.40,2.38,2.35,2.40,2.44,2.41,2.61,2.65
Guatemala,Data source,Beer,,,0.89,0.92,0.93,1.02,1.10,1.12,1.12,1.18,1.11,0.99,1.15,1.13
Guatemala,Data source,Wine,,,0.02,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Guatemala,Data source,Spirits,,,1.20,1.23,1.26,1.24,1.26,1.23,1.19,1.19,1.30,1.38,1.43,1.49
Guatemala,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea,Data source,All types,,,,0.20,0.20,0.22,0.17,0.14,0.21,0.35,0.19,0.21,0.18,0.18
Guinea,Data source,Beer,,,,0.16,0.17,0.18,0.14,0.11,0.17,0.17,0.17,0.17,0.15,0.16
Guinea,Data source,Wine,,,,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.04,0.02,0.01
Guinea,Data source,Spirits,,,,0.01,0.01,0.01,0.02,0.01,0.03,0.16,0.00,0.00,0.01,0.01
Guinea,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,Data source,All types,,,,2.28,2.57,2.69,2.99,3.19,3.15,2.62,2.20,2.52,2.57,2.84
Guinea-Bissau,Data source,Beer,,,,0.45,0.45,0.30,0.36,0.37,0.43,0.40,0.32,0.32,0.37,0.54
Guinea-Bissau,Data source,Wine,,,,0.34,0.64,0.67,0.70,0.48,0.66,0.55,0.58,0.68,0.47,0.58
Guinea-Bissau,Data source,Spirits,,,,0.51,0.51,0.52,0.49,0.50,0.53,0.53,0.54,0.55,0.60,0.60
Guinea-Bissau,Data source,Other alcoholic beverages,,,,0.98,0.98,1.20,1.45,1.83,1.55,1.14,0.76,0.97,1.13,1.12
Guyana,Data source,All types,,,6.82,7.23,7.16,6.99,6.86,6.70,6.98,7.45,7.41,7.25,6.28,6.20
Guyana,Data source,Beer,,,1.62,1.66,1.58,1.48,1.44,1.38,1.26,1.27,1.24,1.52,1.43,1.43
Guyana,Data source,Wine,,,0.03,0.02,0.02,0.02,0.08,0.01,0.01,0.01,0.02,0.02,0.01,0.00
Guyana,Data source,Spirits,,,5.18,5.54,5.56,5.48,5.34,5.31,5.70,6.16,6.15,5.71,4.83,4.77
Guyana,Data source,Other alcoholic beverages,,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Haiti,Data source,All types,,,,,5.75,5.87,6.01,6.13,5.57,6.10,6.64,6.10,6.22,4.79
Haiti,Data source,Beer,,,,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0.03
Haiti,Data source,Wine,,,,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01
Haiti,Data source,Spirits,,,,,5.73,5.84,5.98,6.10,5.55,6.08,6.62,6.05,6.17,4.75
Haiti,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,Data source,All types,,,3.05,2.92,2.97,3.20,3.23,3.28,3.27,3.05,3.08,3.12,2.77,2.63
Honduras,Data source,Beer,,,1.38,1.17,1.19,1.35,1.32,1.29,1.29,1.29,1.40,1.42,1.35,1.35
Honduras,Data source,Wine,,,0.01,0.03,0.02,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.04
Honduras,Data source,Spirits,,,1.66,1.71,1.75,1.82,1.89,1.96,1.95,1.74,1.66,1.68,1.41,1.24
Honduras,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Hungary,Data source,All types,,11.21,11.44,10.78,11.46,11.64,12.55,13.16,12.94,13.12,13.08,13.12,13.01,12.08
Hungary,Data source,Beer,,4.05,4.02,3.91,4.26,4.28,4.58,4.38,4.30,4.36,4.48,4.35,4.26,4.31
Hungary,Data source,Wine,,3.31,3.63,3.17,3.21,3.25,3.85,4.53,4.50,4.48,4.42,4.70,4.67,3.92
Hungary,Data source,Spirits,,3.84,3.79,3.70,3.99,4.11,4.12,4.25,4.14,4.29,4.18,4.07,4.08,3.85
Hungary,Data source,Other alcoholic beverages,,No data,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Iceland,Data source,All types,,,,6.32,7.01,7.68,7.53,7.20,7.05,6.79,6.61,6.61,6.37,6.17
Iceland,Data source,Beer,,,,3.91,4.36,4.73,3.95,3.78,3.67,3.49,3.35,3.29,3.12,3.03
Iceland,Data source,Wine,,,,1.34,1.34,1.45,2.04,1.97,1.95,1.91,1.79,1.67,1.52,1.38
Iceland,Data source,Spirits,,,,1.04,1.27,1.46,1.46,1.36,1.33,1.31,1.39,1.58,1.68,1.73
Iceland,Data source,Other alcoholic beverages,,,,0.03,0.03,0.04,0.08,0.09,0.10,0.08,0.08,0.07,0.05,0.03
India,Data source,All types,,,2.56,2.46,2.17,1.82,1.53,1.36,1.22,1.45,1.98,1.79,1.79,1.82
India,Data source,Beer,,,0.17,0.17,0.15,0.14,0.13,0.11,0.02,0.02,0.02,0.02,0.02,0.03
India,Data source,Wine,,,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
India,Data source,Spirits,,,2.39,2.29,2.02,1.68,1.39,1.23,1.20,1.43,1.96,1.77,1.77,1.79
India,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,All types,,,,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06
Indonesia,Data source,Beer,,,,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06
Indonesia,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,Spirits,,,,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,All types,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
