"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR",
2017,1,12,4,2017-01-12,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,13,5,2017-01-13,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,14,6,2017-01-14,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,15,7,2017-01-15,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,16,1,2017-01-16,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,17,2,2017-01-17,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,18,3,2017-01-18,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,19,4,2017-01-19,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,20,5,2017-01-20,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,21,6,2017-01-21,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,22,7,2017-01-22,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,23,1,2017-01-23,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,24,2,2017-01-24,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,25,3,2017-01-25,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,26,4,2017-01-26,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,27,5,2017-01-27,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,28,6,2017-01-28,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,29,7,2017-01-29,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,30,1,2017-01-30,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,31,2,2017-01-31,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",
2017,1,14,6,2017-01-14,10713,1071302,30713,"BOI","Boise, ID","ID",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",
2017,1,21,6,2017-01-21,10713,1071302,30713,"BOI","Boise, ID","ID",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",
2017,1,28,6,2017-01-28,10713,1071302,30713,"BOI","Boise, ID","ID",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",
2017,1,1,7,2017-01-01,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,7,6,2017-01-07,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,8,7,2017-01-08,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,14,6,2017-01-14,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,15,7,2017-01-15,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,21,6,2017-01-21,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,22,7,2017-01-22,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,28,6,2017-01-28,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,29,7,2017-01-29,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",10423,1042302,30423,"AUS","Austin, TX","TX",
2017,1,9,1,2017-01-09,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,10,2,2017-01-10,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,11,3,2017-01-11,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,12,4,2017-01-12,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,13,5,2017-01-13,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,14,6,2017-01-14,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,15,7,2017-01-15,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,16,1,2017-01-16,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,17,2,2017-01-17,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,18,3,2017-01-18,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,19,4,2017-01-19,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,20,5,2017-01-20,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,21,6,2017-01-21,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,22,7,2017-01-22,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,23,1,2017-01-23,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,24,2,2017-01-24,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,25,3,2017-01-25,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,26,4,2017-01-26,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,27,5,2017-01-27,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,28,6,2017-01-28,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,29,7,2017-01-29,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
